cylinders,engine-size,highway-mpg,price
4,130,27,13495.0
4,130,27,16500.0
6,152,26,16500.0
4,109,30,13950.0
5,136,22,17450.0
5,136,25,15250.0
5,136,25,17710.0
5,136,25,18920.0
5,131,20,23875.0
4,108,29,16430.0
4,108,29,16925.0
6,164,28,20970.0
6,164,28,21105.0
6,164,25,24565.0
6,209,22,30760.0
6,209,22,41315.0
6,209,20,36880.0
3,61,53,5151.0
4,90,43,6295.0
4,90,43,6575.0
4,90,41,5572.0
4,90,38,6377.0
4,98,30,7957.0
4,90,38,6229.0
4,90,38,6692.0
4,90,38,7609.0
4,98,30,8558.0
4,122,30,8921.0
4,156,24,12964.0
4,92,54,6479.0
4,92,38,6855.0
4,79,42,5399.0
4,92,34,6529.0
4,92,34,7129.0
4,92,34,7295.0
4,92,34,7295.0
4,110,33,7895.0
4,110,33,9095.0
4,110,33,8845.0
4,110,33,10295.0
4,110,28,12945.0
4,110,31,10345.0
4,111,29,6785.0
4,119,29,11048.0
6,258,19,32250.0
6,258,19,35550.0
12,326,17,36000.0
4,91,31,5195.0
4,91,38,6095.0
4,91,38,6795.0
4,91,38,6695.0
4,91,38,7395.0
2,70,23,10945.0
2,70,23,11845.0
2,70,23,13645.0
2,80,23,15645.0
4,122,32,8845.0
4,122,32,8495.0
4,122,32,10595.0
4,122,32,10245.0
4,122,42,10795.0
4,122,32,11245.0
4,140,27,18280.0
4,134,39,18344.0
5,183,25,25552.0
5,183,25,28248.0
5,183,25,28176.0
5,183,25,31600.0
8,234,18,34184.0
8,234,18,35056.0
8,308,16,40960.0
8,304,16,45400.0
4,140,24,16503.0
4,92,41,5389.0
4,92,38,6189.0
4,92,38,6669.0
4,98,30,7689.0
4,110,30,9959.0
4,122,32,8499.0
4,156,24,12629.0
4,156,24,14869.0
4,156,24,14489.0
4,122,32,6989.0
4,122,32,8189.0
4,110,30,9279.0
4,110,30,9279.0
4,97,37,5499.0
4,103,50,7099.0
4,97,37,6649.0
4,97,37,6849.0
4,97,37,7349.0
4,97,37,7299.0
4,97,37,7799.0
4,97,37,7499.0
4,97,37,7999.0
4,97,37,8249.0
4,120,34,8949.0
4,120,34,9549.0
6,181,22,13499.0
6,181,22,14399.0
6,181,25,13499.0
6,181,25,17199.0
6,181,23,19699.0
6,181,25,18399.0
4,120,24,11900.0
4,152,33,13200.0
4,120,24,12440.0
4,152,25,13860.0
4,120,24,15580.0
4,152,33,16900.0
4,120,24,16695.0
4,152,25,17075.0
4,120,24,16630.0
4,152,33,17950.0
4,134,24,18150.0
4,90,41,5572.0
4,98,30,7957.0
4,90,38,6229.0
4,90,38,6692.0
4,98,38,7609.0
4,122,30,8921.0
4,156,24,12764.0
4,151,27,22018.0
6,194,25,32528.0
6,194,25,34028.0
6,194,25,37028.0
4,132,31,9295.0
4,132,31,9895.0
4,121,28,11850.0
4,121,28,12170.0
4,121,28,15040.0
4,121,28,15510.0
4,121,26,18150.0
4,121,26,18620.0
4,97,36,5118.0
4,108,31,7053.0
4,108,31,7603.0
4,108,37,7126.0
4,108,33,7775.0
4,108,32,9960.0
4,108,25,9233.0
4,108,29,11259.0
4,108,32,7463.0
4,108,31,10198.0
4,108,29,8013.0
4,108,23,11694.0
4,92,39,5348.0
4,92,38,6338.0
4,92,38,6488.0
4,92,37,6918.0
4,92,32,7898.0
4,92,32,8778.0
4,98,37,6938.0
4,98,37,7198.0
4,110,36,7898.0
4,110,47,7788.0
4,98,47,7738.0
4,98,34,8358.0
4,98,34,9258.0
4,98,34,8058.0
4,98,34,8238.0
4,98,29,9298.0
4,98,29,9538.0
4,146,30,8449.0
4,146,30,9639.0
4,146,30,9989.0
4,146,30,11199.0
4,146,30,11549.0
4,146,30,17669.0
4,122,34,8948.0
4,110,33,10698.0
4,122,32,9988.0
4,122,32,10898.0
4,122,32,11248.0
6,171,24,16558.0
6,171,24,15998.0
6,171,24,15690.0
6,161,24,15750.0
4,97,46,7775.0
4,109,34,7975.0
4,97,46,7995.0
4,109,34,8195.0
4,109,34,8495.0
4,97,42,9495.0
4,109,32,9995.0
4,109,29,11595.0
4,109,29,9980.0
5,136,24,13295.0
4,97,38,13845.0
4,109,31,12290.0
4,141,28,12940.0
4,141,28,13415.0
4,141,28,15985.0
4,141,28,16515.0
4,130,22,18420.0
4,130,22,18950.0
4,141,28,16845.0
4,141,25,19045.0
6,173,23,21485.0
6,145,27,22470.0
4,141,25,22625.0
